Variable,Valor bajo,Valor alto,Prediccion baja,Prediccion alta,Diferencia promedio
renta_media_municipio,2064.406779661017,3716.225165562914,2230.87646484375,3053.533935546875,822.657470703125
focos,4.0,8.0,2469.5146484375,2888.9951171875,419.48046875
est_socio,2.0,3.0,2418.264892578125,2738.695556640625,320.4306640625
calent_gas,0.0,1.0,2647.4775390625,2932.7412109375,285.263671875
mat_pisos,2.0,3.0,2611.85986328125,2877.3212890625,265.46142578125
tanque_gas,0.0,1.0,2777.55615234375,2932.952392578125,155.396240234375
num_cuarto,2.0,4.0,2688.05419921875,2837.68310546875,149.62890625
cisterna,0.0,1.0,2771.112060546875,2896.8076171875,125.695556640625
cuart_dorm,1.0,2.0,2752.8017578125,2824.307861328125,71.506103515625
regadera,0.0,1.0,2773.03759765625,2814.001953125,40.96435546875
p_humedad,0.0,1.0,2821.9951171875,2777.330810546875,-44.664306640625
p_grietas,0.0,1.0,2836.15185546875,2710.2470703125,-125.90478515625
