variable,importance,importance_pct
est_socio,0.13388126,13.388125
mat_pisos,0.0644479,6.4447904
fregadero,0.06377554,6.377554
sanit_agua,0.053489055,5.3489056
mat_techos,0.044531237,4.4531236
combus,0.043234944,4.3234944
renta_media_municipio,0.04257611,4.2576113
calent_gas,0.041664146,4.1664147
tipo_viv,0.041125905,4.1125903
ab_agua,0.03632804,3.632804
eli_basura,0.034927383,3.4927382
uso_compar,0.030930867,3.0930867
mat_pared,0.030637834,3.0637834
bano_comp,0.027785232,2.7785232
lugar_coc,0.024213726,2.4213727
focos,0.022036208,2.2036207
drenaje,0.020330045,2.0330045
agua_ent,0.017719882,1.7719882
regadera,0.017633015,1.7633015
aire_acond,0.015722863,1.5722864
