folioviv,tenencia,renta,ubica_geo,tam_loc,est_socio,tipo_viv,mat_pared,mat_techos,mat_pisos,antiguedad,cocina,cuart_dorm,num_cuarto,lugar_coc,agua_ent,ab_agua,dotac_agua,excusado,uso_compar,sanit_agua,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,focos,combus,eli_basura,lavadero,fregadero,regadera,tinaco_azo,cisterna,pileta,calent_sol,calent_gas,medid_luz,bomba_agua,tanque_gas,aire_acond,calefacc,p_grietas,p_pandeos,p_levanta,p_humedad,p_fractura,p_electric,p_tuberias,antiguedad_no_especificada
100001901,1,1500,1001,1,3,7,8,10,3,30.0,1,1,4,1,2,1,1,1,2,1,2,0,0,1,1,9,3,3,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0
100001902,3,0,1001,1,3,1,8,10,3,30.0,1,3,4,1,1,1,1,1,2,1,2,0,0,1,1,10,3,3,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,0
100001904,1,1000,1001,1,3,1,8,10,3,-1.0,1,2,3,1,1,1,1,1,2,1,2,0,0,1,1,11,3,3,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1
100001905,4,0,1001,1,3,1,8,10,3,25.0,1,2,3,1,1,1,2,1,2,1,1,0,0,1,1,6,3,3,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,2,1,2,2,2,0
100002501,3,0,1001,1,2,4,8,10,3,9.0,1,2,3,1,1,1,1,1,2,1,1,0,0,1,1,8,3,3,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0
100002502,3,0,1001,1,2,4,8,10,2,-1.0,1,2,4,1,1,1,1,1,2,1,1,0,0,1,1,9,3,3,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1
100002504,3,0,1001,1,2,4,8,10,3,7.0,1,2,3,1,1,1,1,1,2,1,1,0,0,1,1,6,3,3,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0
100002505,3,0,1001,1,2,4,8,10,2,6.0,1,2,3,1,1,1,1,1,2,1,1,0,0,1,1,7,3,3,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0
100002506,1,2500,1001,1,2,4,8,10,3,1.0,1,2,3,1,1,1,1,1,2,1,1,0,0,1,1,7,3,3,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0
100003701,4,0,1001,1,2,1,8,10,3,30.0,1,3,4,1,1,1,1,1,2,1,1,1,0,1,1,8,3,3,2,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,0
100003702,4,0,1001,1,2,1,8,10,3,26.0,1,3,4,1,1,1,1,1,2,1,3,0,0,1,1,20,3,3,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0
100003703,4,0,1001,1,2,1,8,10,3,28.0,1,3,6,1,1,1,1,1,2,1,1,0,0,1,1,10,4,3,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0
100003704,4,0,1001,1,2,1,8,10,3,30.0,1,1,2,1,1,1,1,1,2,1,1,0,0,1,1,2,3,3,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0
100003705,1,2000,1001,1,2,1,8,10,3,30.0,1,1,4,1,1,1,1,1,2,1,1,0,0,1,1,12,3,3,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,0
100003706,4,0,1001,1,2,1,8,10,3,20.0,1,1,3,1,1,1,3,1,2,1,1,0,0,1,1,4,3,3,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,0
